Code,Name,Category,Description
915,unable to allocate matrix,Memory/Resources,"unable to allocate matrix You have attempted to create a matrix with too many rows or columns or attempted to fit a model with too many variables. You are using Stata/BE which supports matrices with up to 800 rows or columns. See limits for how many more rows and columns Stata/SE and Stata/MP can support. error — Display generic error message and exit 205 If you are using factor variables and included an interaction that has lots of missing cells, try set emptycells drop to reduce the required matrix size; see help set emptycells. If you are using factor variables, you might have accidentally treated a continuous variable as a categorical, resulting in lots of categories. Use the c. operator on such variables."
916,unable to allocate matrix,Memory/Resources,"unable to allocate matrix You have attempted to create a matrix with too many rows or columns or attempted to fit a model with too many variables. Assuming that you are not playing with set max memory, your system administrator froze the max memory setting at its current value. Contact your system administrator if you need to change this setting. If you are using factor variables and included an interaction that has lots of missing cells, try set emptycells drop to reduce the required matrix size; see help set emptycells. If you are using factor variables, you might have accidentally treated a continuous variable as a categorical, resulting in lots of categories. Use the c. operator on such variables."
920,too many macros,Memory/Resources,too many macros You specified a line containing recursive macro substitutions. An example of single-level recursion is referring to ”$this” when $this contains ”$that” and $that contains ”result”. The result of evaluating ”$this” is to produce ”result”. Double-level recursion would be when $this contains ”$that” and $that contains ”$what” and $what contains ”result”. Error 920 arises when the recursion level is greater than 20. Error 920 also arises if macro substitution would result in text longer than the maximum number of characters allowed in a macro. See [R] Limits.
950,insufficient memory,Memory/Resources,"insufficient memory There is insufficient memory to fulfill the request. Type discard, press Return, and try the command again. If that fails, consider dropping value labels, variable labels, or macros."
1000,system limit exceeded - see manual,System limits,system limit exceeded - see manual See [R] Limits.
1001,too many values,System limits,"too many values You have attempted to create a table that has too many rows or columns. For a one-way table, the maximum number of rows is 12,000 for Stata/MP and Stata/SE and 3,000 for Stata/BE. For a two-way table, the maximum number of rows and columns is 1,200 by 80 for Stata/MP and Stata/SE and 300 by 20 for Stata/BE. Thus tabulate y x may not result in too many values even if tabulate x y does."
1002,too many by variables,System limits,"too many by variables The number of by variables exceeded 32,766 for Stata/MP or Stata/SE, or 2,048 for Stata/BE. You cannot exceed these maximums."
1003,too many options,System limits,too many options The number of options specified exceeded 256. You cannot exceed this maximum.
1004,command too long,System limits,"command too long You attempted to issue a Stata command in a do-file, ado-file, or program, and the command exceeded 264,408 characters for Stata/BE. For Stata/MP and Stata/SE, the limit is 33*c(max k theory) + 216, which for the default setting of 5,000 is 165,216."
1400,numerical overflow,System limits,"numerical overflow You have attempted something that, in the midst of the necessary calculations, has resulted in something too large for Stata to deal with accurately. Most commonly, this is an attempt to estimate a model (say, with regress) with too many effective observations. This effective number could be reached with far fewer observations if you were running a frequency-weighted model."
2000,no observations,Non-errors (continuation),no observations You have requested some statistical calculation and there are no observations on which to perform it. Perhaps you specified if or in and inadvertently filtered all the data.
2001,insufficient observations,Non-errors (continuation),"insufficient observations You have requested some statistical calculation, and although there are some observations, the number is not sufficient to carry out your request. 3000–3999. Mata runtime errors; see [M-2] Errors for codes. error — Display generic error message and exit 206 4000–4999. Class system errors; see [P] class for information on the class system. 7100–7199. Python runtime errors; see Error codes in [P] PyStata integration. 9xxx. Various messages, all indicating an unexpected system failure. You should never see such a message. If one occurs, save your data, and exit Stata immediately. Please email tech-support@stata.com to report the problem. Other messages no observations insufficient observations You have requested something when there are either no observations or insufficient observations in memory to carry forth your request. ( not found) You referred to the indicated value name in an expression, and no such value label existed. A missing value was substituted. (eof before end of obs) infile was reading your data and encountered the end-of-file marker before it had completed reading the current obser- vation. Missing values are filled in for the remaining variables. This message indicates that the dataset may contain more or fewer variables than you expected. ( missing values generated) The command created the indicated number of missing values. Missing values occur when a mathematical operation is performed on a missing value or when a mathematical operation is infeasible. (file not found) You specified the replace option on a command, yet no such file was found. The file was saved anyway. (variable was , now to accommodate using data’s values) Occurs during append or merge when there is a type mismatch between the data in memory and the data on disk. The first blank is filled in with a variable name, and the second and third blanks with a storage type (byte, int, long, float, double, or str#, or strL). For instance, you might receive the message “variable myvar was str5, now strL to accommodate using data’s values”. This means that myvar is of type str5 in the master dataset and of type strL in the using dataset. (label already defined) Occurs during append or merge. The using dataset has a label definition for one of its variables. A label with the same name exists in the master dataset. Thus you are warned that the label already exists, and the previous definition (the one from the master dataset) is retained. (note: hascons false) You specified the hascons option on regress, yet an examination of the data revealed that there is no effective constant in your varlist. Stata added a constant to your regression. real changes made You used replace. This is the actual number of changes made to your data, not counting observations that already contained the replaced value. was now Occurs during replace, append, or merge. The first blank is filled in with a variable name, and the second and third blanks are filled in with a numeric storage type (byte, int, long, float, or double). For instance, you might receive the message “myvar was byte now float”. Stata automatically promoted myvar to a float to prevent truncation. error — Display generic error message and exit 207 Also see [P] break — Suppress Break key [P] capture — Capture return code [P] exit — Exit from a program or do-file [R] search — Search Stata documentation and other resources [U] 16.1.4 Error handling in do-files"
